Time (sec), Heater 1 (%),Temperature 1 (degC), Energy balance (degC), FOPDT (degC)
0.000000000000000000e+00,0.000000000000000000e+00,2.122100000000000009e+01,2.115599999999999881e+01,2.122100000000000009e+01
1.004189014434814453e+00,0.000000000000000000e+00,2.118799999999999883e+01,2.117286882246969526e+01,2.123582498609201963e+01
2.466597318649291992e+00,0.000000000000000000e+00,2.122100000000000009e+01,2.119716058117620605e+01,2.125719404699086468e+01
3.677806854248046875e+00,0.000000000000000000e+00,2.118799999999999883e+01,2.121703564122867647e+01,2.127469642892559065e+01
4.890983819961547852e+00,0.000000000000000000e+00,2.118799999999999883e+01,2.123672402119825620e+01,2.129205104312874752e+01
6.123611450195312500e+00,0.000000000000000000e+00,2.118799999999999883e+01,2.125650609825936499e+01,2.130950512203886404e+01
7.413378000259399414e+00,0.000000000000000000e+00,2.115599999999999881e+01,2.127696836684305026e+01,2.132757735859239290e+01
8.607622146606445312e+00,0.000000000000000000e+00,2.122100000000000009e+01,2.129570155629005512e+01,2.134413881969896920e+01
9.793770313262939453e+00,0.000000000000000000e+00,2.115599999999999881e+01,2.131410673002102385e+01,2.136042566540048071e+01
1.097882127761840820e+01,0.000000000000000000e+00,2.109199999999999875e+01,2.133229696913673479e+01,2.137653747188041109e+01
1.229880428314208984e+01,2.000000000000000000e+01,2.112399999999999878e+01,2.135232815861456857e+01,2.139429747195607590e+01
1.354718399047851562e+01,2.000000000000000000e+01,2.118799999999999883e+01,2.149518234393241300e+01,2.141091527034082276e+01
1.481227231025695801e+01,2.000000000000000000e+01,2.115599999999999881e+01,2.163829646520230199e+01,2.142758004370741176e+01
1.613179039955139160e+01,2.000000000000000000e+01,2.118799999999999883e+01,2.178581572885684636e+01,2.144477563402924503e+01
1.750840759277343750e+01,2.000000000000000000e+01,2.122100000000000009e+01,2.193783349115915371e+01,2.146251492693275864e+01
1.883773803710937500e+01,2.000000000000000000e+01,2.118799999999999883e+01,2.208282393711863278e+01,2.147945281778930138e+01
2.014491033554077148e+01,2.000000000000000000e+01,2.122100000000000009e+01,2.222368789829994284e+01,2.149592640693828827e+01
2.153678512573242188e+01,2.000000000000000000e+01,2.122100000000000009e+01,2.237183767322795802e+01,2.151327130542379606e+01
2.291016221046447754e+01,2.000000000000000000e+01,2.122100000000000009e+01,2.251617870414770550e+01,2.153018963324279156e+01
2.408946990966796875e+01,2.000000000000000000e+01,2.122100000000000009e+01,2.263868166009575589e+01,2.154456354297804666e+01
2.533084654808044434e+01,2.000000000000000000e+01,2.122100000000000009e+01,2.276620896006943440e+01,2.155954214086452225e+01
2.655909514427185059e+01,2.000000000000000000e+01,2.125300000000000011e+01,2.289096637131211764e+01,2.167604262816026761e+01
2.780699896812438965e+01,2.000000000000000000e+01,2.128500000000000014e+01,2.301628814619920149e+01,2.179319252079695701e+01
2.901495885848999023e+01,2.000000000000000000e+01,2.138200000000000145e+01,2.313623849395298748e+01,2.190543807190296377e+01
3.032458066940307617e+01,2.000000000000000000e+01,2.154299999999999926e+01,2.326478887527400730e+01,2.202586043008318484e+01
3.157890367507934570e+01,2.000000000000000000e+01,2.154299999999999926e+01,2.338646924202657829e+01,2.213997230075613132e+01
3.284994983673095703e+01,2.000000000000000000e+01,2.154299999999999926e+01,2.350834881596495052e+01,2.225439521531258791e+01
3.411249494552612305e+01,2.000000000000000000e+01,2.154299999999999926e+01,2.362801085934250978e+01,2.236685930511145415e+01
3.540455555915832520e+01,2.000000000000000000e+01,2.154299999999999926e+01,2.374903950890995930e+01,2.248073400317810666e+01
3.664627027511596680e+01,2.000000000000000000e+01,2.186499999999999844e+01,2.386400363767455701e+01,2.258902216932056817e+01
3.789432406425476074e+01,2.000000000000000000e+01,2.186499999999999844e+01,2.397823754151710318e+01,2.269673987820015171e+01
3.926893210411071777e+01,2.000000000000000000e+01,2.186499999999999844e+01,2.410254407536871213e+01,2.281409099751675029e+01
4.057959032058715820e+01,2.000000000000000000e+01,2.186499999999999844e+01,2.421960994135298506e+01,2.292473769195714439e+01
4.192173957824707031e+01,2.000000000000000000e+01,2.202599999999999980e+01,2.433803133332776270e+01,2.303679740211156002e+01
4.323193788528442383e+01,2.000000000000000000e+01,2.218799999999999883e+01,2.445222804678223838e+01,2.314498712882528864e+01
4.448391675949096680e+01,2.000000000000000000e+01,2.218799999999999883e+01,2.456006790622956260e+01,2.324727152574644506e+01
4.570345067977905273e+01,2.000000000000000000e+01,2.218799999999999883e+01,2.466392154482247179e+01,2.334588444607711466e+01
4.691323161125183105e+01,2.000000000000000000e+01,2.225199999999999889e+01,2.476579544020285084e+01,2.344272352481012689e+01
4.811787414550781250e+01,2.000000000000000000e+01,2.238100000000000023e+01,2.486611158581456493e+01,2.353818607835160748e+01
4.936332964897155762e+01,2.000000000000000000e+01,2.251000000000000156e+01,2.496865885259842344e+01,2.363588046153703459e+01
5.059448361396789551e+01,2.000000000000000000e+01,2.251000000000000156e+01,2.506887470109791138e+01,2.373146158446195741e+01
5.182866454124450684e+01,2.000000000000000000e+01,2.251000000000000156e+01,2.516819818230703731e+01,2.382629850165040963e+01
5.317257571220397949e+01,2.000000000000000000e+01,2.254200000000000159e+01,2.527507033952701931e+01,2.392846401080833374e+01
5.441120457649230957e+01,2.000000000000000000e+01,2.280000000000000071e+01,2.537239995496645406e+01,2.402161797313052460e+01
5.565215754508972168e+01,2.000000000000000000e+01,2.283200000000000074e+01,2.546879933319900147e+01,2.411398745609582406e+01
5.688534569740295410e+01,2.000000000000000000e+01,2.283200000000000074e+01,2.556350426244102891e+01,2.420483755453970076e+01
5.819059514999389648e+01,2.000000000000000000e+01,2.283200000000000074e+01,2.566257152736204716e+01,2.429998482899069145e+01
5.942378950119018555e+01,2.000000000000000000e+01,2.286400000000000077e+01,2.575507533771468616e+01,2.438893374545510895e+01
6.067949581146240234e+01,2.000000000000000000e+01,2.292899999999999849e+01,2.584818736276281470e+01,2.447857201553585682e+01
6.194602203369140625e+01,2.000000000000000000e+01,2.315399999999999991e+01,2.594100974648233660e+01,2.456803749176437535e+01
6.325352931022644043e+01,2.000000000000000000e+01,2.315399999999999991e+01,2.603569829916818890e+01,2.465941255073953897e+01
6.451619291305541992e+01,2.000000000000000000e+01,2.315399999999999991e+01,2.612605529842028318e+01,2.474671374674202085e+01
6.577668881416320801e+01,2.000000000000000000e+01,2.315399999999999991e+01,2.621520697263144939e+01,2.483295362865799305e+01
6.711550378799438477e+01,2.000000000000000000e+01,2.321900000000000119e+01,2.630876208089352986e+01,2.492356525437128667e+01
6.836608576774597168e+01,2.000000000000000000e+01,2.347700000000000031e+01,2.639510684490511494e+01,2.500729688918471894e+01
6.963090753555297852e+01,2.000000000000000000e+01,2.347700000000000031e+01,2.648142018969207356e+01,2.509109900922821978e+01
7.092505693435668945e+01,2.000000000000000000e+01,2.347700000000000031e+01,2.656869085882385662e+01,2.517593488956697456e+01
7.225612998008728027e+01,2.000000000000000000e+01,2.347700000000000031e+01,2.665736270129275454e+01,2.526224201822854809e+01
7.355326390266418457e+01,2.000000000000000000e+01,2.347700000000000031e+01,2.674272395781719069e+01,2.534543248963314355e+01
7.483458995819091797e+01,2.000000000000000000e+01,2.347700000000000031e+01,2.682603962363674555e+01,2.542673098267414034e+01
7.617475819587707520e+01,2.000000000000000000e+01,2.373400000000000176e+01,2.691212492153425728e+01,2.551083923338226356e+01
7.746396613121032715e+01,2.000000000000000000e+01,2.379899999999999949e+01,2.699392949481142523e+01,2.559086762091632039e+01
7.876836705207824707e+01,2.000000000000000000e+01,2.379899999999999949e+01,2.707570467898131028e+01,2.567096880776746204e+01
8.006131196022033691e+01,2.000000000000000000e+01,2.379899999999999949e+01,2.715578708677747954e+01,2.574951186159930572e+01
8.144605946540832520e+01,2.000000000000000000e+01,2.389600000000000080e+01,2.724049237169703019e+01,2.583269843152612566e+01
8.276379013061523438e+01,2.000000000000000000e+01,2.412099999999999866e+01,2.732008948985122743e+01,2.591097265241563719e+01
8.405869150161743164e+01,2.000000000000000000e+01,2.412099999999999866e+01,2.739736084545586436e+01,2.598705799515539638e+01
8.530768871307373047e+01,2.000000000000000000e+01,2.412099999999999866e+01,2.747101407595636147e+01,2.605967231848379129e+01
8.650472688674926758e+01,2.000000000000000000e+01,2.437900000000000134e+01,2.754080247174459828e+01,2.612856013474747030e+01
8.770611548423767090e+01,2.000000000000000000e+01,2.444300000000000139e+01,2.761006522138177388e+01,2.619701082602546904e+01
8.887693834304809570e+01,2.000000000000000000e+01,2.444300000000000139e+01,2.767682268166237236e+01,2.626306386062387332e+01
9.011986684799194336e+01,2.000000000000000000e+01,2.444300000000000139e+01,2.774689773309671637e+01,2.633248314301066628e+01
9.138850641250610352e+01,2.000000000000000000e+01,2.444300000000000139e+01,2.781758870136349060e+01,2.640260081208498022e+01
9.274940252304077148e+01,2.000000000000000000e+01,2.444300000000000139e+01,2.789249507559640051e+01,2.647699794396850592e+01
9.396797966957092285e+01,2.000000000000000000e+01,2.441100000000000136e+01,2.795876446020724870e+01,2.654290259663176954e+01
9.525570082664489746e+01,2.000000000000000000e+01,2.470100000000000051e+01,2.802797905875519291e+01,2.661182331530346801e+01
9.645574855804443359e+01,2.000000000000000000e+01,2.476599999999999824e+01,2.809173550897941141e+01,2.667538925104407355e+01
9.770865297317504883e+01,2.000000000000000000e+01,2.476599999999999824e+01,2.815754145043064227e+01,2.674108015859911092e+01
9.902008795738220215e+01,2.000000000000000000e+01,2.476599999999999824e+01,2.822560087749735658e+01,2.680910913695032605e+01
1.002533695697784424e+02,2.000000000000000000e+01,2.482999999999999829e+01,2.828884707497962836e+01,2.687240923347791366e+01
1.015013945102691650e+02,2.000000000000000000e+01,2.508800000000000097e+01,2.835211087427029497e+01,2.693580720351116042e+01
1.027461318969726562e+02,2.000000000000000000e+01,2.508800000000000097e+01,2.841447644057069510e+01,2.699838481863622519e+01
1.040435209274291992e+02,2.000000000000000000e+01,2.508800000000000097e+01,2.847871147740261222e+01,2.706292222863369190e+01
1.052714006900787354e+02,2.000000000000000000e+01,2.508800000000000097e+01,2.853879055395168507e+01,2.712336262524588548e+01
1.065104730129241943e+02,2.000000000000000000e+01,2.541000000000000014e+01,2.859872114105189667e+01,2.718373024554608719e+01
1.077679977416992188e+02,2.000000000000000000e+01,2.541000000000000014e+01,2.865883735753180872e+01,2.724436285353402099e+01
1.090773487091064453e+02,2.000000000000000000e+01,2.541000000000000014e+01,2.872068326154192164e+01,2.730682271821617135e+01
1.103237421512603760e+02,2.000000000000000000e+01,2.541000000000000014e+01,2.877885463592133419e+01,2.736564950741337299e+01
1.115865817070007324e+02,2.000000000000000000e+01,2.550700000000000145e+01,2.883710472063950192e+01,2.742463260952612103e+01
1.129163401126861572e+02,2.000000000000000000e+01,2.573199999999999932e+01,2.889770093318372801e+01,2.748607398545970426e+01
1.141975398063659668e+02,2.000000000000000000e+01,2.573199999999999932e+01,2.895537404562406891e+01,2.754463116753512963e+01
1.154392452239990234e+02,2.000000000000000000e+01,2.573199999999999932e+01,2.901061196993015301e+01,2.760078978980031650e+01
1.166881914138793945e+02,2.000000000000000000e+01,2.573199999999999932e+01,2.906552686694612930e+01,2.765669272799476630e+01
1.180184659957885742e+02,2.000000000000000000e+01,2.595799999999999841e+01,2.912331454888885673e+01,2.771559949772036902e+01
1.192988269329071045e+02,2.000000000000000000e+01,2.605499999999999972e+01,2.917825681442235464e+01,2.777168260458365978e+01
1.205673160552978516e+02,2.000000000000000000e+01,2.605499999999999972e+01,2.923204248626848312e+01,2.782665872134127483e+01
1.219256911277770996e+02,2.000000000000000000e+01,2.605499999999999972e+01,2.928893393920139943e+01,2.788488966705935113e+01
1.232029528617858887e+02,2.000000000000000000e+01,2.608699999999999974e+01,2.934177027647820069e+01,2.793904539887445893e+01
1.244335734844207764e+02,2.000000000000000000e+01,2.634499999999999886e+01,2.939208123676218065e+01,2.799068113883006959e+01
1.256844253540039062e+02,2.000000000000000000e+01,2.637699999999999889e+01,2.944262690911278924e+01,2.804262590398924004e+01
1.270141382217407227e+02,2.000000000000000000e+01,2.637699999999999889e+01,2.949571212994186453e+01,2.809725504161050225e+01
1.283276152610778809e+02,2.000000000000000000e+01,2.640899999999999892e+01,2.954750207824662311e+01,2.815062610956234579e+01
1.295810067653656006e+02,2.000000000000000000e+01,2.653800000000000026e+01,2.959633030638417495e+01,2.820101387013461292e+01
